id,username,password_hash,role,created_at
1,frank.robert,6a700e1fe5c48b3853df3b80d64c195a6245d5a1a8e879d0cedd8d0e5c9507cb,Admin,2018-10-10
2,alice.bernard,4872fd4be18ef7cf844a091be724d3532f64c48126e483e2a1949577d00c7111,Admin,2018-08-07
3,jack.martin,7da5d5997f778064b1c16f49007c2143f81aceda2731215190646381455936ba,Technician,2022-01-26
4,iris.fournier,048a173c3c6b651adb4383e0de0d827a5978922c9e396b81708f7fe541b86aa8,Technician,2022-10-08
5,jack.martin2,b08ac00414f5e1fa98d081857f40a62e6817a3c0075c1dfc5773052d82410472,Technician,2020-01-28
6,frank.bernard,d69cb013867944be3280ebd66bd2bbacfcc2226822324f36b14147dd413a3509,Technician,2019-12-04
7,iris.bernard,63d2ad88cd1d1cbb745f86b601a4ece99dc2a97ff6cff3bfb25547318ef8c9bb,Technician,2021-05-14
8,daniel.martin,f366c0d5715e2854c97b442530163132cc793c7ae4fc90fb70eb92e81bc7e19e,Technician,2019-10-23
9,hugo.lemoine,c5a06859b6c4d26f4ae4325a55a0b05d88f089943bea0cfd3d397fb8c93e91d0,Technician,2019-11-25
10,frank.petit,c49512c0fae1ca5b2dfe2205059a9c11c141a2b46fb335ef836e06e61592abfd,Technician,2018-11-14
